Filesystem                                              Size  Used Avail Use% Mounted on
devtmpfs                                                7.8G  8.0K  7.8G   1% /dev
tmpfs                                                   7.9G     0  7.9G   0% /dev/shm
tmpfs                                                   7.9G  3.1M  7.8G   1% /run
tmpfs                                                   7.9G     0  7.9G   0% /sys/fs/cgroup
/dev/sda2                                               120G   27G   90G  23% /
/dev/sda2                                               120G   27G   90G  23% /.snapshots
/dev/sda2                                               120G   27G   90G  23% /tmp
/dev/sda2                                               120G   27G   90G  23% /srv
/dev/sda2                                               120G   27G   90G  23% /opt
/dev/sda2                                               120G   27G   90G  23% /boot/grub2/i386-pc
/dev/sda2                                               120G   27G   90G  23% /root
/dev/sda2                                               120G   27G   90G  23% /usr/local
/dev/sda2                                               120G   27G   90G  23% /home
/dev/sda2                                               120G   27G   90G  23% /boot/grub2/x86_64-efi
/dev/sda2                                               120G   27G   90G  23% /var
/dev/sda1                                               500M  7.7M  493M   2% /boot/efi
tmpfs                                                   7.9G   12K  7.9G   1% /var/lib/kubelet/pods/a86c6678-0e45-4f67-aada-18fc0a67c9d9/volumes/kubernetes.io~secret/calico-node-token-88x54
tmpfs                                                   7.9G   12K  7.9G   1% /var/lib/kubelet/pods/c9e9b909-1cc6-432d-adc6-6db1e5eb3ebd/volumes/kubernetes.io~secret/coredns-autoscaler-token-8s954
tmpfs                                                   7.9G   12K  7.9G   1% /var/lib/kubelet/pods/f56d602a-cc39-441e-a87c-e9a1b19e5019/volumes/kubernetes.io~secret/nginx-ingress-token-cdtmg
tmpfs                                                   7.9G   12K  7.9G   1% /var/lib/kubelet/pods/c5595746-d087-45dc-8c3e-5ab1e72c0804/volumes/kubernetes.io~secret/nginx-ingress-token-cdtmg
tmpfs                                                   7.9G   12K  7.9G   1% /var/lib/kubelet/pods/caeca59e-d750-44b7-8030-19b2c0076d71/volumes/kubernetes.io~secret/longhorn-service-account-token-b4xwx
tmpfs                                                   7.9G   12K  7.9G   1% /var/lib/kubelet/pods/fc0a1872-f5e3-45a6-a93b-d701188d6e4a/volumes/kubernetes.io~secret/longhorn-service-account-token-b4xwx
tmpfs                                                   7.9G   12K  7.9G   1% /var/lib/kubelet/pods/35cf5cd0-315e-4a29-adc5-0135d2e4ba30/volumes/kubernetes.io~secret/longhorn-service-account-token-b4xwx
tmpfs                                                   7.9G   12K  7.9G   1% /var/lib/kubelet/pods/58d7d50b-d61e-47b2-a8af-16895b5b14c5/volumes/kubernetes.io~secret/longhorn-service-account-token-b4xwx
tmpfs                                                   7.9G   12K  7.9G   1% /var/lib/kubelet/pods/4dc0f991-2842-473b-b191-c88ae0f0db11/volumes/kubernetes.io~secret/longhorn-service-account-token-b4xwx
tmpfs                                                   7.9G   12K  7.9G   1% /var/lib/kubelet/pods/1c894ef3-9937-4a7b-ac86-01e7296f96e4/volumes/kubernetes.io~secret/rancher-token-2p8g7
tmpfs                                                   7.9G   12K  7.9G   1% /var/lib/kubelet/pods/df8f1816-a303-4660-8698-bd04db5efa05/volumes/kubernetes.io~secret/fleet-controller-token-jf69z
shm                                                      64M     0   64M   0% /var/lib/docker/containers/e62d6c6f9a3e16e9abfa1b92a250ba2489fbbe170ed5963e63a20a21df52e24a/mounts/shm
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/e62d6c6f9a3e16e9abfa1b92a250ba2489fbbe170ed5963e63a20a21df52e24a/mounts/secrets
shm                                                      64M     0   64M   0% /var/lib/docker/containers/e64dfcfe274260e8f5483f7551410c88b3ba7bf44ed609feb29dfc3690f44fb2/mounts/shm
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/e64dfcfe274260e8f5483f7551410c88b3ba7bf44ed609feb29dfc3690f44fb2/mounts/secrets
shm                                                      64M     0   64M   0% /var/lib/docker/containers/68d2277fcdfda5031442f16b2ee232a43d45e4c2c66ee1a2cc4286f066834cd2/mounts/shm
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/68d2277fcdfda5031442f16b2ee232a43d45e4c2c66ee1a2cc4286f066834cd2/mounts/secrets
shm                                                      64M     0   64M   0% /var/lib/docker/containers/30a3e4f131fae0fb364fa2ceb95aafe23b8ff919d0cf03b5ea65ba0ecfeed5a7/mounts/shm
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/30a3e4f131fae0fb364fa2ceb95aafe23b8ff919d0cf03b5ea65ba0ecfeed5a7/mounts/secrets
shm                                                      64M     0   64M   0% /var/lib/docker/containers/7b381abd23a970fe96dd11760a27d557685adac9d601f8f6712b60cc6be0f866/mounts/shm
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/7b381abd23a970fe96dd11760a27d557685adac9d601f8f6712b60cc6be0f866/mounts/secrets
shm                                                      64M     0   64M   0% /var/lib/docker/containers/9d1012d6b4a4e206903de3a8536e9b816b735ea69758041a94f2c4010d04264d/mounts/shm
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/9d1012d6b4a4e206903de3a8536e9b816b735ea69758041a94f2c4010d04264d/mounts/secrets
shm                                                      64M     0   64M   0% /var/lib/docker/containers/95e808b2c876a0b6ba2e5e0cd19f0f087587c16ffdb6d6d9ca0adddc3b75fa69/mounts/shm
tmpfs                                                   7.9G   52K  7.9G   1% /var/lib/docker/containers/95e808b2c876a0b6ba2e5e0cd19f0f087587c16ffdb6d6d9ca0adddc3b75fa69/mounts/secrets
shm                                                      64M     0   64M   0% /var/lib/docker/containers/71e63f4826d0125680205638bbf2c36adb80caaeb5be9812bade97571e881e35/mounts/shm
